MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,num_masked_target_values,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.2],Coverage[0.2],QuantileLoss[0.3],Coverage[0.3],QuantileLoss[0.4],Coverage[0.4],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.6],Coverage[0.6],QuantileLoss[0.7],Coverage[0.7],QuantileLoss[0.8],Coverage[0.8],QuantileLoss[0.9],Coverage[0.9],RMSE,NRMSE,ND,wQuantileLoss[0.1],wQuantileLoss[0.2],wQuantileLoss[0.3],wQuantileLoss[0.4],wQuantileLoss[0.5],wQuantileLoss[0.6],wQuantileLoss[0.7],wQuantileLoss[0.8],wQuantileLoss[0.9],mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,context_length,rope_scaling,dataset,train_size,test_size,forecast_horizon
0.11962145566940308,3.319075107574463,4.846297740936279,0.48462977409362795,0.17811612556317102,1.86343325012272,0.6963555335998535,1.1518779754638673,5.550008382815595,0.0,1.1919831395149232,0.0,2.032154178619385,0.0,2.6694761037826535,0.0,3.100126886367798,0.0,3.319075420498848,0.0,3.3931726813316345,0.0,3.219071841239929,0.0,2.6124974250793462,0.1,1.6795515477657317,0.4,0.34586334825968923,0.7136650836332442,0.6848681787622143,0.2459574717100725,0.41932095121889545,0.5508279198848655,0.6396897285491316,0.6848682433319955,0.7001577003141559,0.664233196827486,0.5390707638558389,0.3465638385315656,2.5796788026889166,0.5322988682471119,0.23333333333333334,,32,True,climate,large,small,10
0.12753475904464723,3.36080265045166,4.846297740936279,0.48462977409362795,0.17811612556317102,1.8868604062801215,0.6994637012481689,1.133726215362549,9.661216883936632,0.0,1.130906927585602,0.0,1.9397164940834046,0.0,2.6262971341609953,0.0,3.0666362047195435,0.0,3.3608025312423706,0.0,3.544042700529098,0.0,3.470903372764587,0.0,3.1844556331634526,0.1,2.19498987197876,0.3,0.3571200905082872,0.7368925922394802,0.6934783684591304,0.23335481805686928,0.40024707473062965,0.5419182383238402,0.6327791581635439,0.6934783438611184,0.7312886846783804,0.7161968905554752,0.6570903818526496,0.4529209696378868,2.724305652247535,0.562141617762266,0.26666666666666666,,64,True,climate,large,small,10
0.10866162776947022,3.114734411239624,4.846297740936279,0.48462977409362795,0.17811612556317102,1.748709950540074,0.655938196182251,1.0382192611694336,6.728506588919336,0.0,1.115342551469803,0.0,1.957808291912079,0.0,2.4982398927211764,0.0,2.8483056783676144,0.0,3.1147343814373016,0.0,3.187686502933502,0.0,2.970096245408058,0.0,2.4006922483444213,0.1,1.4889299631118775,0.5,0.3296386320950113,0.6801865046602086,0.6427038902149403,0.23014321675876329,0.4039801920081453,0.5154945127738952,0.5877281650089737,0.6427038840654374,0.6577570494704392,0.6128588056651779,0.4953662314360034,0.30723039373644095,2.397981750633982,0.4948069389914752,0.2222222222222222,,128,True,climate,large,small,10
0.1335221767425537,3.4138925075531006,4.846297740936279,0.48462977409362795,0.17811612556317102,1.9166667233295072,0.7118940353393555,1.1560572624206542,9.34724817654052,0.0,1.2061730325222015,0.0,2.0674957633018494,0.0,2.734042185544967,0.0,3.1780364990234378,0.0,3.4138924926519394,0.0,3.6247710585594177,0.0,3.440090376138687,0.0,2.787595105171204,0.0,1.9420495629310608,0.3,0.3654068646626028,0.7539917772200436,0.7044330930632328,0.24888545793085656,0.4266134426364031,0.5641506840264346,0.6557658379465265,0.7044330899884812,0.7479464226766908,0.7098388419433098,0.5752009583779009,0.40072848734132194,2.710460675093863,0.5592848025408806,0.26666666666666666,,256,True,climate,large,small,10
0.1355135202407837,3.5568647384643555,4.846297740936279,0.48462977409362795,0.17811612556317102,1.9969358345395125,0.7356773853302002,1.2347589492797852,5.238859211794595,0.0,1.2178649425506591,0.0,2.0782881617546085,0.0,2.7454805731773377,0.0,3.209558176994324,0.0,3.556864783167839,0.0,3.7284849464893335,0.0,3.6003662198781963,0.0,3.1207838296890267,0.0,1.6674098908901216,0.3,0.3681216106679744,0.7595934677279139,0.7339344234713049,0.2512980026512721,0.4288403793682503,0.5665109161549214,0.6622701180497949,0.7339344326955594,0.7693470656982395,0.7429106531087015,0.643952145846926,0.34405849166171676,2.769455724954605,0.5714580228039313,0.26666666666666666,,512,True,climate,large,small,10
0.12110649347305298,3.476714611053467,4.846297740936279,0.48462977409362795,0.17811612556317102,1.9519370298790877,0.7220614433288575,1.210758590698242,6.608466407246116,0.0,1.2389087438583377,0.0,2.1031092524528505,0.0,2.797020936012268,0.0,3.2538942575454715,0.0,3.476714923977852,0.0,3.507338047027588,0.0,3.436588221788406,0.1,2.52619514465332,0.1,1.3589608669281008,0.4,0.34800358255778485,0.7180813089922791,0.7173959993596646,0.25564024541731667,0.43396203965927627,0.5771459133404169,0.6714185614433248,0.7173960639294458,0.7237149334431914,0.7091161966298164,0.5212628855455489,0.2804121701910863,2.6331922660271325,0.5433410010666025,0.23333333333333334,,950,True,climate,large,small,10
0.13290927410125733,3.5225627422332764,4.846297740936279,0.48462977409362795,0.17811612556317102,1.9776776140260006,0.7407101631164551,1.2577637672424316,6.987713860341765,0.0,1.1888140916824341,0.0,2.014708423614502,0.0,2.690664446353912,0.0,3.1323523759841914,0.0,3.5225626826286316,0.0,3.760291618108749,0.0,3.6533176362514497,0.0,3.0776428937911993,0.1,1.7186854720115663,0.5,0.3645672422218668,0.752259274419723,0.7268564439362605,0.24530356062125921,0.4157211404071246,0.5551999877403508,0.6463392353147162,0.7268564316372544,0.7759101522685811,0.7538368114266227,0.6350503122816005,0.3546388529730584,2.7510044044918485,0.567650720518952,0.2222222222222222,,32,False,climate,large,small,10
0.16586697101593018,3.993746280670166,4.846297740936279,0.48462977409362795,0.17811612556317102,2.2422148853971877,0.8515339851379394,1.4997636795043945,10.698335097929155,0.0,1.2855247914791108,0.0,2.2460188746452334,0.0,2.9988329887390135,0.0,3.629482674598694,0.0,3.9937461018562317,0.0,4.2294161975383755,0.0,4.130604335665702,0.1,3.5409702301025394,0.1,2.512134480476379,0.2,0.4072676896292292,0.8403686925569439,0.8240819062632737,0.26525914423713354,0.4634504511914933,0.618788433778659,0.748918632039619,0.8240818693662558,0.8727107626534878,0.8523216187843405,0.7306547016689161,0.5183615647995758,3.1740811861223643,0.6549496865021645,0.32222222222222224,,64,False,climate,large,small,10
0.1661475658416748,3.8951427936553955,4.846297740936279,0.48462977409362795,0.17811612556317102,2.1868557837420153,0.8220906257629395,1.464883041381836,12.600732937948242,0.0,1.3913829326629639,0.0,2.384968304634094,0.0,3.127461630105972,0.0,3.656796717643738,0.0,3.895142763853073,0.0,3.9516118347644804,0.0,3.6743228912353514,0.1,3.118039035797119,0.1,2.0887269258499144,0.3,0.4076120285782484,0.8410792121482406,0.8037357591039948,0.2871022390783105,0.49212170446905534,0.6453300637491916,0.7545546957949109,0.8037357529544918,0.8153877549424047,0.758171100425516,0.6433857766226988,0.43099434609776643,3.032050337394079,0.6256426037927052,0.26666666666666666,,128,False,climate,large,small,10
0.1693754553794861,4.080192565917969,4.846297740936279,0.48462977409362795,0.17811612556317102,2.2907485512707715,0.8580324172973632,1.5302041053771973,13.623183780224121,0.0,1.2537800788879396,0.0,2.203870463371277,0.0,2.9967046558856967,0.0,3.6177913665771486,0.0,4.0801922380924225,0.0,4.400744318962097,0.0,4.39722253382206,0.0,3.9274251461029057,0.1,2.888021370768547,0.1,0.4115524940751618,0.8492100900008921,0.8419194989719507,0.25870884248348225,0.4547534182135291,0.6183492670235216,0.7465062115391635,0.841919431327418,0.9080631348316409,0.9073364388405363,0.8103969991212607,0.59592322328314,3.3073057969411215,0.6824396629626324,0.4000000000000001,,256,False,climate,large,small,10
