,,,,,MSE,MSE,abs_error,abs_error,RMSE,RMSE,NRMSE,NRMSE,MAPE,MAPE,sMAPE,sMAPE,MASE,MASE
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
context_length,rope_scaling,train_size,test_size,forecast_horizon,,,,,,,,,,,,,,
32,False,50,12,6,0.020251259407294647,0.037478809105897064,0.6258137971162796,0.5908043903190521,0.11071611664329471,0.09656811625226092,0.9061797978434333,0.710684632959989,1.6389784812927246,1.3233172485563147,0.928846762293861,0.5559758496633556,0.43287376464630395,0.4481544686318177
32,False,50,12,12,0.12033984065055847,,3.2882847785949707,,0.34690033244515417,,1.55316178198338,,2.1205382347106934,,1.7003809611002605,,1.1309399197602672,
32,True,50,12,6,0.020616528722235846,0.04351127916171558,0.5916593457971301,0.652951394184702,0.10203817962180148,0.10911245754719741,0.7811618181187365,0.6588721092112638,1.2072202875500635,1.126251044951375,0.9899055787495205,0.5198032182426158,0.4134078760959038,0.4934875762311966
32,True,50,12,12,0.12147839864095052,,3.2948265075683594,,0.34853751396506877,,1.5604918636497125,,2.039003054300944,,1.6926762262980144,,1.1331898168763617,
50,False,50,12,6,0.026457393009747778,0.05380706109763569,0.7968711640153613,0.7398721625913361,0.11863603321739112,0.12019442057581055,0.7223500187925113,0.30576638946102236,1.1729050136747816,0.3516490259239215,1.2059711161113922,0.35246238796846535,0.5544903707092591,0.5590864181210808
50,False,50,12,12,0.14267666141192117,,3.6666982173919678,,0.37772564304256756,,1.6911746054367538,,2.3685525258382163,,1.6926544507344563,,1.2610876694001707,
50,True,50,12,6,0.01948735907319046,0.03701972703361446,0.670833306653159,0.587959082989821,0.10813725569983246,0.0953553450872897,0.7498958013540606,0.40737477771421776,1.0566500027974446,0.4128195640870322,1.1901363645281111,0.2710404040217437,0.4658967518575859,0.44775476474890363
50,True,50,12,12,0.13485407829284668,,3.4430580139160156,,0.36722483343701945,,1.6441597869606146,,1.8964686393737793,,1.687217394510905,,1.1841710849788136,
